text,title,id,url
"The terrain rises towards the south and in the east of the state into parts of Germany's Central Uplands. These hill ranges are the Weser Uplands – including the Egge Hills, the Wiehen Hills, the Wesergebirge and the Teutoburg Forest in the east, the Sauerland, the Bergisches Land, the Siegerland and the Siebengebirge in the south, as well as the left-Rhenish Eifel in the southwest of the state. The Rothaargebirge in the border region with Hesse rises to height of about 800 m above sea level. The highest of these mountains are the Langenberg, at 843.2 m above sea level, the Kahler Asten (840.7 m) and the Clemensberg (839.2 m). The planimetrically determined centre of North Rhine-Westphalia is located in the south of Dortmund-Aplerbeck in the Aplerbecker Mark (51° 28' N, 7° 33' Ö). Its westernmost point is situated near Selfkant close to the Dutch border, the easternmost near Höxter on the Weser. The southernmost point lies near Hellenthal in the Eifel region. The northernmost point is the NRW-Nordpunkt near Rahden in the northeast of the state. The Nordpunkt has located the only 100 km to the south of the North Sea coast.",North Rhine-Westphalia,Q1198,https://en.wikipedia.org/wiki/North_Rhine-Westphalia
"The borough of Spandau lies partly within the Berlin Glacial Valley and partly on the Nauen Plain, which stretches to the west of Berlin. Since 2015, the Arkenberge hills in Pankow at 122 meters (400 ft) elevation, have been the highest point in Berlin. Through the disposal of construction debris they surpassed Teufelsberg (120.1 m or 394 ft), which itself was made up of rubble from the ruins of the Second World War. The Müggelberge at 114.7 meters (376 ft) elevation is the highest natural point and the lowest is the Spektesee in Spandau, at 28.1 meters (92 ft) elevation.= Climate Berlin has an oceanic climate (Köppen: Cfb) bordering on a humid continental climate (Dfb). This type of climate features mild to very warm summer temperatures and cold, though not very severe, winters. Annual precipitation is modest. Frosts are common in winter, and there are larger temperature differences between seasons than typical for many oceanic climates. Summers are warm and sometimes humid with average high temperatures of 22–25 °C (72–77 °F) and lows of 12–14 °C (54–57 °F).",Berlin,Q64,https://en.wikipedia.org/wiki/Berlin
"The forested uplands of central Germany and the lowlands of northern Germany (lowest point: in the municipality Neuendorf-Sachsenbande, Wilstermarsch at 3.54 metres or 11.6 feet below sea level) are traversed by such major rivers as the Rhine, Danube and Elbe. Significant natural resources include iron ore, coal, potash, timber, lignite, uranium, copper, natural gas, salt, and nickel.= Climate Most of Germany has a temperate climate, ranging from oceanic in the north and west to continental in the east and southeast. Winters range from the cold in the Southern Alps to cool and are generally overcast with limited precipitation, while summers can vary from hot and dry to cool and rainy. The northern regions have prevailing westerly winds that bring in moist air from the North Sea, moderating the temperature and increasing precipitation. Conversely, the southeast regions have more extreme temperatures. From February 2019 – 2020, average monthly temperatures in Germany ranged from a low of 3.3 °C (37.9 °F) in January 2020 to a high of 19.8 °C (67.6 °F) in June 2019. Average monthly precipitation ranged from 30 litres per square metre in February and April 2019 to 125 litres per square metre in February 2020. Average monthly hours of sunshine ranged from 45 in November 2019 to 300 in June 2019.= Biodiversity The territory of Germany can be divided into five terrestrial ecoregions: Atlantic mixed forests, Baltic mixed forests, Central European mixed forests, Western European broadleaf forests, and Alps conifer and mixed forests.",Germany,Q183,https://en.wikipedia.org/wiki/Germany
"Various metamorphic rocks are found in the Tauern Window, such as Hochstegen marble (as in Wolfendorn), Grünschiefer (as in Hochfeiler), or rocks of the Zentralgneiss (predominantly in the area of the Zillertal Main Ridge). The province of South Tyrol has placed numerous geological natural monuments under protection. Among the best known are the Bletterbach Gorge, a 12 km (7½ mile) long canyon in the municipality of Aldein, and the Ritten Earth Pyramids, which are the largest in Europe with a height of up to 30 metres (98 ft).= Mountains According to the Alpine Association, South Tyrol is home to 13 mountain groups of the Eastern Alps, of which only the Sarntal Alps are entirely within national borders. The remaining twelve are (clockwise, starting from the west): Sesvenna Group, Ötztal Alps, Stubai Alps, Zillertal Alps, Venediger Group, Rieserferner Group, Villgratner Mountains, Carnic Alps, Dolomites, Fleimstal Alps, Nonsberg Group and Ortler Alps. Of particular note are the Dolomites, parts of which were recognized by UNESCO in 2009 as a ""Dolomite World Heritage Site"". Although some isolated massifs approach 4,000 metres (13,000 ft) and show strong glaciation (especially in the Ortler Alps and on the main ridge of the Alps), South Tyrol is by far dominated by mountains with altitudes of between 2,000 and 3,000 metres (6,600 and 9,800 ft). Among the multitude of peaks, the Dolomites are the highest in the Alps. Among the large number of peaks, three stand out for their alpine or cultural importance: the Ortler (3,905 metres, 12,812 ft) as the highest mountain in South Tyrol, the Schlern (2,563 metres, 8,409 ft) as the country's ""landmark"" and the Drei Zinnen (2,999 metres, 9,839 ft) as the center of alpine climbing. Other well-known mountains are the Königspitze (3,851 metres, 12,635 ft), the Weißkugel (3,739 metres, 12,267 ft), the Similaun (3,599 metres, 11,808 ft), the Hochwilde (3,480 metres, 11,417 ft), the Sarner Weißhorn (2,705 metres, 8,875 ft), the Hochfeiler (3,509 metres, 11,512 ft), the Dreiherrnspitze (3,499 metres, 11,480 ft), the Hochgall (3,436 metres, 11,273 ft), the Peitlerkofel (2,875 metres, 9,432 ft), the Langkofel (3,181 metres, 10,436 ft) and the Rosengartenspitze (2,981 metres, 9,780 ft). The extensive mountain landscapes, about 34% of the total area of South Tyrol, are alpine pastures (including the 57 square kilometres (22 sq mi) of the great Alpe di Siusi).",South Tyrol,Q15124,https://en.wikipedia.org/wiki/South_Tyrol
"Within the Basin the smaller hill chains Fahner Höhe and Heilinger Höhen. South of the Thuringian Basin is the state's largest mountain range, marked by the Thuringian Forest in the north-west, the Thuringian Highland in the middle and the Franconian Forest in the south-east. Most of this range is forested and the Großer Beerberg (983 m) is Thuringia's highest mountain. To the south-west, the Forest is followed up by Werra river valley, dividing it from the Rhön Mountains in the west and the Grabfeld plain in the south. Eastern Thuringia, commonly described as the area east of Saale and Loquitz valley, is marked by a hilly landscape, rising slowly from the flat north to the mountainous south. The Saale in the west and the White Elster in the east are the two big rivers running from south to north and forming densely settled valleys in this area. Between them lies the flat and forested Holzland in the north, the flat and fertile Orlasenke in the middle and the Vogtland, a hilly but in most parts non-forested region in the south. The far eastern region (east of White Elster) is the Osterland or Altenburger Land along Pleiße river, a flat, fertile and densely settled agricultural area.",Thuringia,Q1205,https://en.wikipedia.org/wiki/Thuringia
"With Krost's recommendation, Stevens signed Paul Samwell-Smith, previously the bassist of the Yardbirds, as his new producer.== Height of popularity =Samwell-Smith paired Stevens with guitarist Alun Davies, who was at that time working as a session musician. Davies was the more experienced veteran of two albums that had already begun to explore the emerging genres of skiffle and folk rock music. Davies was also thought to be a perfect fit with Stevens, particularly for his ""fingerwork"" on the guitar, harmonising, and backing vocals. They originally met just to record Mona Bone Jakon in 1970, but soon developed a friendship. Davies, like Stevens, was a perfectionist, appearing at all sound checks to be sure that all the equipment and sound were prepared for each concert. The first single released from Mona Bone Jakon was ""Lady D'Arbanville"", which Stevens wrote about his young American girlfriend Patti D'Arbanville. The record had a madrigal sound, unlike most music played on pop radio, with djembes and bass in addition to Stevens' and Davies' guitars. It reached number 8 in the UK and was the first of his hits to get real airplay in the US.",Cat Stevens,Q154216,https://en.wikipedia.org/wiki/Cat_Stevens
"In 2008, Billboard magazine ranked him the 17th most successful artist on the ""Billboard Hot 100 All-Time Top Artists"". A Grammy and Brit Award recipient, he was voted at No.33 in Q Magazine's list of the Top 100 Greatest Singers of all time. As a solo artist, Stewart was inducted into the US Rock and Roll Hall of Fame in 1994, the UK Music Hall of Fame in 2006, and he was inducted a second time into the US Rock and Roll Hall of Fame in 2012 as a member of Faces. Early life Roderick David Stewart was born at 507 Archway Road, Highgate, North London, on 10 January 1945, the youngest of five children of Robert Joseph Stewart (26 December 1904–1990) and Elsie Rebecca Gilbart (14 December 1905–1996). His father was Scottish and had been a master builder in Leith, Edinburgh, while Elsie was English and had grown up in Upper Holloway in North London. Married in 1928, the couple had two sons and two daughters while living in Scotland, and then they moved to Highgate. Stewart was born at home during World War II, eight years after his nearest sibling.",Rod Stewart,Q182655,https://en.wikipedia.org/wiki/Rod_Stewart
"1907). ""Rachel, Eliza"" . The Nuttall Encyclopædia. London and New York: Frederick Warne. Agate, James. Rachel. London: Gerald Howe 1928; NY: Viking Press 1928; reprint Bronx: Benjamin Bloom, Inc., 1969. Brownstein, Rachel M. Tragic Muse. New York: Alfred A. Knopf, 1993. Forman, Edward.",Rachel Félix,Q267985,https://en.wikipedia.org/wiki/Rachel_F%C3%A9lix
"He has an older sister, Anita (b. 1937), and a brother, David Gordon. The family lived above the Moulin Rouge, a restaurant his parents operated on the north end of Shaftesbury Avenue, a short walk from Piccadilly Circus in the Soho theatre district of London. All family members worked in the restaurant. His parents divorced when he was about eight years old but continued to maintain the family restaurant and live above it. Stevens has a half-brother, George Georgiou, born in Greece, presumably from his father's first marriage in Greece. Although his father was Greek Orthodox and his mother was a Baptist, Georgiou was sent to St Joseph Roman Catholic Primary School, Macklin Street, which was closer to his father's business on Drury Lane. Georgiou developed an interest in piano at a young age, eventually using the family baby grand piano to work out the chords, since no one else there played well enough to teach him. At 15, inspired by the popularity of the Beatles, he became interested in the guitar.",Cat Stevens,Q154216,https://en.wikipedia.org/wiki/Cat_Stevens
"She took dramatic arts classes and debuted in La Vendéenne in January 1837, at the Théâtre du Gymnase. Delestre-Poirson, the director, gave her the stage name Rachel, which she chose to retain in her private life as well. Rachel was described as a very serious and committed student. She was admired for her intelligence, work ethic, diction, and ability to act. Auditioning in March 1838, she starred in Pierre Corneille's Horace at the Théâtre-Français at the age of 17. During this time, she began a liaison with Louis Véron, the former director of the Paris Opera, which became the subject of much gossip. During this time, from 1838 to 1842, she lived in a third-floor apartment in Paris's Galerie Véro-Dodat. Her fame spread throughout Europe after success in London in 1841, and she was often associated with the works of Racine, Voltaire, and Corneille. She toured Brussels, Berlin, and St. Petersburg.",Rachel Félix,Q267985,https://en.wikipedia.org/wiki/Rachel_F%C3%A9lix
"Franklin Patrick Herbert Jr. (October 8, 1920 – February 11, 1986) was an American science-fiction author best known for the 1965 novel Dune and its five sequels. Though he became famous for his novels, he also wrote short stories and worked as a newspaper journalist, photographer, book reviewer, ecological consultant, and lecturer. The Dune saga, set in the distant future, and taking place over millennia, explores complex themes, such as the long-term survival of the human species, human evolution, planetary science and ecology, and the intersection of religion, politics, economics, sex, and power in a future where humanity has long since developed interstellar travel and settled many thousands of worlds. Dune is the best-selling science fiction novel of all time, and the series is considered to be among the classics of the science-fiction genre. The series has been adapted numerous times, including the feature film Dune (1984), the miniseries Frank Herbert's Dune and Children of Dune, and a motion picture trilogy currently in production, with Dune (2021) and Dune: Part Two (2024) having recently been released. Biography Early life Frank Patrick Herbert Jr. was born on October 8, 1920, in Tacoma, Washington, to Frank Patrick Herbert Sr.and Eileen (née McCarthy) Herbert. His upbringing included spending a lot of time on the rural Olympic and Kitsap Peninsulas.",Frank Herbert,Q7934,https://en.wikipedia.org/wiki/Frank_Herbert
"His ideas were genuinely developed concepts, not merely decorative notions, but they were sometimes embodied in excessively complicated plots and articulated in prose which did not always match the level of thinking [...] His best novels, however, were the work of a speculative intellect with few rivals in modern science fiction. The Science Fiction Hall of Fame inducted Herbert in 2006. California State University, Fullerton's Pollack Library has several of Herbert's draft manuscripts of Dune and other works, with the author's notes, in their Frank Herbert Archives. Metro Parks Tacoma built Dune Peninsula and the Frank Herbert Trail at Point Defiance Park in July 2019 to honor the hometown writer. Bibliography Posthumously published works Beginning in 2012, Herbert's estate and WordFire Press have released four previously unpublished novels in e-book and paperback formats: High-Opp (2012), Angels' Fall (2013), A Game of Authors (2013), and A Thorn in the Bush (2014). In recent years, Frank Herbert's son Brian Herbert and author Kevin J. Anderson have added to the Dune franchise, using notes left behind by Frank Herbert and discovered over a decade after his death. Brian Herbert and Anderson have written three prequel trilogies (Prelude to Dune, Legends of Dune and Great Schools of Dune) exploring the history of the Dune universe before the events of the original novel, two novels that take place between novels of the original Dune sequels (with plans for more), as well as two post-Chapterhouse Dune novels that complete the original series (Hunters of Dune and Sandworms of Dune) based on Frank Herbert's own Dune 7 outline. References == Sources Touponce, William F. (1988). Frank Herbert. Twayne Publishers.",Frank Herbert,Q7934,https://en.wikipedia.org/wiki/Frank_Herbert
"He delved into both the flaws and potentials of bureaucracy and government. Herbert was among the first science fiction authors to popularize ideas about ecology and systems thinking. He stressed the need for humans to think both holistically and with regards to the long-term. The relationship between religion, politics and power. Human survival and evolution: Herbert writes of the Fremen, the Sardaukar, and the Dosadi, who are molded by their terrible living conditions into dangerous super races. Human possibilities and potential: Herbert offered Mentats, the Bene Gesserit and the Bene Tleilax as different visions of human potential. The nature of sanity and madness. Frank Herbert was interested in the work of Thomas Szasz and the anti-psychiatry movement.",Frank Herbert,Q7934,https://en.wikipedia.org/wiki/Frank_Herbert
"Herbert also opposed American involvement in the war in Vietnam. In Chapterhouse: Dune, he wrote:All governments suffer a recurring problem: Power attracts pathological personalities. It is not that power corrupts but that it is magnetic to the corruptible. Such people have a tendency to become drunk on violence, a condition to which they are quickly addicted. Ideas and themes Frank Herbert used his science fiction novels to explore complex ideas involving philosophy, religion, psychology, politics and ecology. The underlying thrust of his work was a fascination with the question of human survival and evolution. Herbert has attracted a dedicated fan base, many of whom have attempted to read everything he wrote (fiction or non-fiction); indeed, such was the devotion of some of his readers that Herbert was at times asked if he was founding a cult, a proposition which he very much rejected. There are a number of key themes found in Herbert's work:A concern with leadership: Herbert explored the human tendency to slavishly submit itself to charismatic leaders.",Frank Herbert,Q7934,https://en.wikipedia.org/wiki/Frank_Herbert
"Vertex Interviews Frank Herbert"". Volume 1, Issue 4. Archived from the original on May 19, 2009. Retrieved April 16, 2005.1984 interview with L. A. Reader: part 1, 2, 3Frank Herbert on the Literature Map= Biography and criticism Frank Herbert biography at the Encyclopedia of Science FictionArabic and Islamic themes in Frank Herbert's Dune novelsStudy by Tim O'Reilly of Frank Herbert's work up to the Jesus Incident; one of the more in-depth studies of Frank Herbert's thoughts and ideasArticle on the inspirations for Dune""Frank Herbert, the Dune Man"" – (Frederik Pohl)""Frank Herbert, the Dune Man, Part 2""= Bibliography and works Works by Frank Herbert at Project GutenbergWorks by or about Frank Herbert at Internet ArchiveWorks by Frank Herbert at LibriVox (public domain audiobooks) Frank Herbert at the Internet Speculative Fiction DatabaseFrank Herbert at the Internet Book ListFrank Herbert at the Internet Book Database of FictionWorks by Frank Herbert at Open Library",Frank Herbert,Q7934,https://en.wikipedia.org/wiki/Frank_Herbert
"Eventually, the larger capacity of this ground also became insufficient for the ever-increasing crowds attending the games, particularly against high-profile opponents. On several occasions, between the 1920s and 1940s, Porto played host to matches at the Campo do Ameal (Ameal Field) or the Estádio do Lima (Lima Stadium), home of local rivals Sport Progresso and Académico, respectively. It was in the latter ground that the club achieved their most important victory at the time, as they beat English champions Arsenal 3–2 in a friendly match on 7 May 1948. In 1933, Porto approved a plan to build a new stadium to accommodate and meet the demands of larger attendances, but the project only moved forward with the purchase of 48,000 square metres (12 acres) of land in the eastern side of the city in 1947. Designed by Portuguese architects Oldemiro Carneiro and Aires de Sá, the construction of the Estádio do Futebol Clube do Porto – better known as Estádio das Antas (Antas Stadium) for the neighbourhood where it was built – began in January 1950, one month after the first stone was symbolically laid. Two years later, on 28 May 1952, the stadium was inaugurated with a ceremony, featuring the presence of the President of the Republic Francisco Craveiro Lopes, and a match against Benfica, which Porto lost 2–8. The stadium's initial layout had an open east sector (Marathon Door), which was closed in 1976 with the construction of a two-tier stand that raised the capacity to 70,000. In 1986, works to lower the pitch and build an additional tier in the place of the athletics and cycling track were concluded, setting the capacity to a new maximum of 95,000. As stadium safety regulations became stricter during the following decade, the placing of individual seats brought the capacity of the Estádio das Antas down to 55,000 by 1997. The awarding of the UEFA Euro 2004 hosting rights to Portugal in 1999 was the perfect opportunity for Porto to move into a more modern, functional and comfortable stadium, in line with the demands of high-level international football.",FC Porto,Q128446,https://en.wikipedia.org/wiki/FC_Porto
"The club decided to build an entirely new ground and chose a site located a few hundreds of meters southeast of the Estádio das Antas. The project was commissioned to Portuguese architect Manuel Salgado, and construction took two years to complete at a cost of €98 million. Baptised Estádio do Dragão (Dragon Stadium) by president Pinto da Costa, for the mythological creature placed atop the club's crest, it was officially inaugurated on 16 November 2003 with a match against Barcelona. Porto won 2–0 in front of a record 52,000 spectators, which also witnessed the professional debut of Lionel Messi. In June 2004, the venue hosted the opening ceremony and match of the UEFA Euro 2004, and four other tournament matches. The highest attendance in an official match was registered on 21 April 2004, when 50,818 people saw Porto draw Deportivo La Coruña without goals, for the first leg of the 2003–04 UEFA Champions League semi-finals. For safety reasons, its current capacity is limited to 50,431.= Museum On 28 September 2013 The FC Porto Museum was inaugurated, on occasion of the club's 120th anniversary. The museum includes an auditorium, a club store, a coffeehouse, and spaces for educational services and temporary exhibitions.",FC Porto,Q128446,https://en.wikipedia.org/wiki/FC_Porto
"The site was located near the residence of Monteiro da Costa and was the property of the city's horticultural society. Aided by his father, a horticultor by profession, Monteiro da Costa rented a portion (30 by 50 meters) of uncultivated terrain to create the first dedicated football pitch in the country. Later that year, the society's vivaria were transferred to another location, allowing Porto to increase the pitch area to match the sport's official dimensions. The ground had capacity for 600 people, including a VIP tribune, and possessed a changing room equipped with showers and sinks, a bar and a gym. The first match between Porto and a foreign team took place at the Campo da Raínha, on 15 December 1907, when the hosts played Spanish side Real Fortuna. By 1911, the Campo da Raínha was becoming too small for the rapidly growing attendances. After being notified about the sale of the ground for construction of a factory, the club searched for a new ground and rented a terrain near the Constituição street for an annual fee of 350$00. The Campo da Constituição (Constitution Field) was opened in January 1913 with a match against Oporto Cricket and Lawn Tennis Club and hosted Porto's home matches for the regional championship.",FC Porto,Q128446,https://en.wikipedia.org/wiki/FC_Porto
"FC Porto is one of the ""Big Three"" teams in the main Portuguese football league, and was European champion in 1987 and 2004, won the UEFA Cup (2003) and Europa League (2011) and the Intercontinental Toyota Cup in 1987 and 2004. Boavista have won the championship once, in the 2000–01 season and reached the semi-finals of the UEFA Cup in 2003, where they lost 2–1 to Celtic. Formerly, Salgueiros from Paranhos was a regular first division club during the 1980s and 1990s but, due to financial indebtedness, the club folded in the 2000s. The club was refounded in 2008 and began playing at the regional level. They now play at the third level of Portugal's national football pyramid. The biggest stadiums in the city are FC Porto's Estádio do Dragão and Boavista's Estádio do Bessa. The first team in Oporto to own a stadium was Académico, who played in the Estádio do Lima, Académico was one of the eight teams to dispute the first division. Salgueiros, sold the grounds of Estádio Engenheiro Vidal Pinheiro field to the Oporto Metro and planned on building a new field in the Arca d'Água area of Porto.",Porto,Q36433,https://en.wikipedia.org/wiki/Porto
